segment,segment_info,direction,center_location,total_poi_count,average_poi_distance,place_of_worship,place_of_education,hospital,healthcare,tourist_attractions,commercial_places,nearby_bus_stops,public_places,fuel_station,place_of_accommodation
1,BT01 - 101,Kandy-Digana,"(7.2918241214999995, 80.636319825)",16,0.002356475046102751,10,2,0,3,48,3,4,13,1,0
2,101 - 102,Kandy-Digana,"(7.288573159, 80.644768605)",19,0.00643677471706647,8,13,2,6,35,1,1,11,0,0
3,102 - 103,Kandy-Digana,"(7.290925475, 80.64413128000001)",13,0.003713632632819733,9,11,2,5,15,0,0,2,1,0
4,103 - 104,Kandy-Digana,"(7.289621492, 80.65685642)",7,0.00761673081065285,6,3,0,0,5,0,0,2,1,0
5,104 - 105,Kandy-Digana,"(7.283234888, 80.664755335)",6,0.0035969939124015416,4,1,0,0,1,0,0,3,1,0
6,105 - 106,Kandy-Digana,"(7.279895397, 80.675194515)",9,0.0032051869081923226,2,1,0,3,6,0,0,20,1,0
7,106 - 107,Kandy-Digana,"(7.2795021774999995, 80.67779338)",9,0.0022087538699255616,1,0,0,3,5,0,0,18,1,0
8,107 - 108,Kandy-Digana,"(7.279222128, 80.68046291)",13,0.0031336689540995897,2,0,1,6,5,0,0,10,1,0
9,108 - 109,Kandy-Digana,"(7.2810372885, 80.684907075)",11,0.0017068951473035057,1,0,1,4,4,0,0,7,0,0
10,109 - 110,Kandy-Digana,"(7.281714827, 80.691720285)",11,0.0059575073986860225,2,0,0,3,4,0,0,9,0,0
11,110 - 111,Kandy-Digana,"(7.2826061515, 80.699184005)",4,0.004079453368169892,2,0,0,1,0,0,0,2,0,0
12,111 - 112,Kandy-Digana,"(7.2860636595, 80.70979107)",4,0.004978944668132077,1,1,0,1,0,0,0,0,0,0
13,112 - 113,Kandy-Digana,"(7.285331669, 80.716724465)",4,0.0028630050142329578,1,1,0,0,0,0,0,0,1,0
14,113 - 114,Kandy-Digana,"(7.2878903075, 80.72173721)",4,0.004417486242173434,3,2,0,0,0,0,0,0,1,0
15,114 - BT02,Kandy-Digana,"(7.293090067, 80.72330829)",11,0.009511490393157967,5,4,2,2,1,0,4,0,1,0
